DETAIL_ID,EXHIBIT_ID,TYPE,NAME,VALUE,SUB_VALUE,OPEN_YN,REG_DT,REG_ID,UP_DT,UP_ID
"17,441","2,565",E,학명,Goniistius zonatus(Cuvier),,Y,11-25-2016 11:13:04,scicenter,,
"17,442","2,565",E,영명,Morwong,,Y,11-25-2016 11:13:04,scicenter,,
"17,443","2,565",E,분포,"북서태평양 (한국, 일본, 동중국해, 대만)",,Y,11-25-2016 11:13:04,scicenter,,
"17,445","2,564",E,영명,Bulgyhead wrasse,,Y,11-25-2016 11:13:29,scicenter,,
"17,448","2,563",E,학명,Hapalogenys mucronatus (Eydoux et Souleyet),,Y,11-25-2016 11:13:55,scicenter,,
"17,449","2,563",E,영명,Belted beard grunt,,Y,11-25-2016 11:13:55,scicenter,,
"17,450","2,563",E,방언,"얼게빗등어리, 닷돔, 딱돔, 꾸돔, 꽃돔(여수)",,Y,11-25-2016 11:13:55,scicenter,,
"17,451","2,563",E,분포,"우리 나라 서·남해, 일본 남부해, 동중국해",,Y,11-25-2016 11:13:55,scicenter,,
"17,467","2,559",E,학명,Girella punctata Gray,,Y,11-25-2016 11:15:22,scicenter,,
"17,468","2,559",E,영명,"Largescale blackfish, rudder fish",,Y,11-25-2016 11:15:22,scicenter,,
"17,469","2,559",E,방언,"깜정이, 깜정고기(전남)",,Y,11-25-2016 11:15:22,scicenter,,
"17,470","2,559",E,분포,"우리 나라 남해, 일본, 대만, 동중국해",,Y,11-25-2016 11:15:22,scicenter,,
