기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2021,형석,피지,,,,
2022,형석,남아프리카공화국,,,,
2022,형석,네덜란드,0,0,0,1
2022,형석,대 만,0,0,0,0
2022,형석,멕시코,0,0,9975,4126
2022,형석,모잠비크,,,,
2022,형석,몽 골,0,0,2149,888
2022,형석,미 국,,,,
2022,형석,베 트 남,,,,
2022,형석,스 웨 덴,0,0,15,49
2022,형석,싱가포르,,,,
2022,형석,아프가니스탄,0,0,1101,636
2022,형석,이탈리아,,,,
2022,형석,일 본,0,0,3162,1246
2022,형석,중 국,157,142,33738,14984
2022,형석,태국,0,0,110,42
2022,형석,파키스탄,0,0,5831,1353
2022,형석,피지,2,3,0,0
2021,석회석류,과테말라,0,0,41,23
2021,석회석류,그 리 스,0,0,0,0
2021,석회석류,남아프리카공화국,,,,
2021,석회석류,네덜란드,0,0,0,0
2021,석회석류,노르웨이,0,0,1380,337
2021,석회석류,뉴질랜드,0,0,0,1
2021,석회석류,대 만,0,0,60,11
2021,석회석류,독 일,0,1,352,140
2021,석회석류,레바논,,,,
2021,석회석류,말레이시아,0,0,0,0
2021,석회석류,멕시코,0,0,0,0
2021,석회석류,모 로 코,0,0,582,130
2021,석회석류,모잠비크,,,,
2021,석회석류,몽 골,69,9,0,0
2021,석회석류,미 국,65,12,1207,466
2021,석회석류,미얀마,0,1,0,0
2021,석회석류,방글라데시,,,,
2021,석회석류,베 트 남,66,13,472123,13864
2021,석회석류,브 라 질,1,5,0,0
2021,석회석류,스 웨 덴,,,,
2021,석회석류,스위스,,,,
2021,석회석류,스 페 인,0,0,166,48
2021,석회석류,싱가포르,0,1,0,0
2021,석회석류,UAE,0,0,0,0
2021,석회석류,영 국,0,0,3,2
2021,석회석류,오 만,0,0,696,622
2021,석회석류,우즈베키스탄,210,21,0,0
2021,석회석류,이 라 크,,,,
2021,석회석류,이 란,,,,
2021,석회석류,이 집 트,0,0,0,0
2021,석회석류,이탈리아,0,0,1081,341
2021,석회석류,인 도,1,4,0,1
2021,석회석류,인도네시아,168,60,6,1
2021,석회석류,일 본,317548,7512,1752712,34592
2021,석회석류,중 국,22773,3387,45857,3822
2021,석회석류,캄보디아,0,1,0,0
2021,석회석류,캐 나 다,0,0,0,0
2021,석회석류,태 국,20,3,0,0
2021,석회석류,튀니지,,,,
2021,석회석류,튀르키예,0,0,558,152
