보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
굴진효과조사,1984,"방림(금,은)광산굴진효과조사보고서",방림,"금,동,아연,연,은",강원도평창군방림면,,84굴-050
굴진효과조사,1984,"인성광산(금,은)굴진효과조사보고서",인성,"금,은",강원도인제군기린면,,84굴-049
굴진효과조사,1984,"신태화(금,은)광산굴진효과조사보고서",신태화,"금,은",강원도고성군현내면,,84굴-048
굴진효과조사,1984,"정기(금,은)광산굴진효과조사보고서",전주일,"금,은",전라북도완주군운주면,,84굴-047
굴진효과조사,1984,"전주일(금,은)광산굴진효과조사보고서",전주일,"금,은",전라북도완주군운주면,,84굴-046
굴진효과조사,1984,"창진(금,은)광산굴진효과조사보고서",창진,"금,은","전라북도김제시금산면,전라북도완주군구이면",,84굴-045
굴진효과조사,1984,"삼보광산(연,아연)굴진효과조사보고서",삼보,"아연,연,중정석",경기도화성시봉담읍,,84굴-044
굴진효과조사,1984,"은성(금,은)광산굴진효과조사보고서",은성,"금,동,아연,연,은",경상북도영천시신녕면,,84굴-043
굴진효과조사,1984,"신오(금,은)광산굴진효과조사보고서",신오,"금,은",경상북도상주시낙동면,,84굴-042
굴진효과조사,1984,"상은광산(금,은)굴진효과조사보고서",상은,"금,동,연,은","전라남도영암군서호면,전라남도영암군학산면",,84굴-041
굴진효과조사,1984,"부평광산(금,은)굴진효과조사보고서",부평,"금,은",인천광역시남동구만수동,,84굴-040
굴진효과조사,1984,"일보(금,은)광산굴진효과조사보고서",일보,"금,은",충청남도천안시서북구입장면,,84굴-039
굴진효과조사,1984,"용전(금,은)광산굴진효과조사보고서",용전,"금,은","전라남도보성군겸백면,전라남도보성군복내면,전라남도보성군율어면",,84굴-038
굴진효과조사,1984,"번암(금,은)광산굴진효과조사보고서",번암,"금,은",전라북도장수군번암면,,84굴-037
굴진효과조사,1984,"삼우(금,은)광산굴진효과조사보고서",삼우,"금,은",충청북도제천시금성면,,84굴-036
굴진효과조사,1984,"삼부(금,은)광산굴진효과조사보고서",삼부,"금,은,형석",경기도가평군하면,,84굴-035
