작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
1986,어상천(망간)광산 물리탐사보고서,어상천,"동,망간,아연,연,은",충청북도 단양군 어상천면 ,"영춘_075,영춘_085",86물-025
1986,"유금(금,은)광산 물리탐사보고서",유금,"금,동,아연,연,은",경상북도 영덕군 병곡면 ,영덕_063,86물-024
1986,"삼전(금,은,동)광산 물리탐사보고서",삼전,"금,동,은",경상남도 고성군 삼산면 ,충무_143,86물-023
1986,"신림(은,동)광산 물리탐사보고서",신림,"동,아연,연,은",강원도 원주시 신림면 ,신림_098,86물-022
1986,"부국(은,연)광산 물리탐사보고서",부국,"연,은",강원도 고성군 현내면 ,고성_069,86물-021
1986,"고명(연,아연)광산 물리탐사보고서",고명,"금,아연,연,은",강원도 고성군 현내면 ,"고성_068,고성_078",86물-020
1986,"동보(금,은)광산 물리탐사보고서",동보,"금,동,연,은",강원도 고성군 현내면 ,고성_068,86물-019
1986,"주천(금,은)광산 물리탐사보고서",주천,"금,기타,동,은",강원도 영월군 주천면 ,영월_124,86물-018
1986,당진철(철)광산 물리탐사보고서,당진,철,충청남도 당진시 고대면 당진포리,당진_123,86물-017
1986,충주철(철)광산 물리탐사보고서,충주절,철,충청북도 충주시 대소원면 ,충주_103,86물-016
1986,"명파(은,동)광산 물리탐사보고서",명파,"금,동,은",강원도 고성군 현내면 ,고성_067,86물-015
1986,"진부(금,은)광산 물리탐사보고서",진부,"금,동,아연,연,은",강원도 인제군 북면 ,창암점_076,86물-014
1986,"황금산(금,은)광산 물리탐사보고서",황금산,"금,동,아연,연,은","경상북도 상주시 중동면 ,경상북도 예천군 풍양면 ","낙동_122,낙동_123",86물-013
1986,"동성(연,아연)광산 물리탐사보고서",동성,"금,동,아연,연,은",강원도 고성군 현내면 검장리,고성_077,86물-012
1986,"보림(연,아연)광산 물리탐사보고서",보림,"아연,연,철",충청북도 충주시 용탄동 ,묵호_030,86물-011
1986,매현(철)광산 물리탐사보고서,매현,철,"충청북도 괴산군 불정면 ,충청북도 충주시 대소원면 매현리",충주_086,86물-010
1986,증산(몰리브덴)광산 물리탐사보고서,중산,"금,몰리브덴,은",강원도 정선군 남면 ,호명_126,86물-009
1986,"형제(금,은)광산 물리탐사보고서",형제,"금,동,아연,연,은",경상북도 성주군 가천면 금봉리,지례_088,86물-008
1986,천지(동)광산 물리탐사보고서,천지,"금,동,아연,연,은",경상남도 창원시 의창구 북면 월백리,마산_071,86물-007
1986,"삼보연철(연,아연)광산 물리탐사보고서",삼보연철,"금,망간,아연,연,은,철",충청북도 단양군 적성면 상원곡리,제천_017,86물-006
1986,"장금(금,은)광산 물리탐사보고서",장금,"금,은",전라북도 진안군 부귀면 황금리,용담_088,86물-005
1986,"경남(금,은)광산 물리탐사보고서",경남,"금,은",경상남도 남해군 고현면 ,남해_086,86물-004
1986,원동철(철)광산 물리탐사보고서,원동철,철,경상남도 양산시 원동면 ,,86물-003
1986,"한용(금,은)광산 물리탐사보고서",한용,"금,동,연,은",강원도 정선군 임계면 ,임계_076,86물-002
1986,"금만(금,은)광산 물리탐사보고서",금만,"금,동,은",전라북도 김제시 금산면 ,전주_146,86물-001
1985,"부림(금,은,동)광산 물리탐사보고서",부림,"금,동,아연,연,은",경상남도 의령군 부림면 권혜리,남지_131,85물-036
1985,"고명(연,아연)광산 물리탐사보고서",고명,"금,동,아연,연,은",강원도 고성군 현내면 ,"고성_068,고성_078",85물-035
1985,매봉(동)광산 물리탐사보고서,매봉,"금,동,아연,연,은",경상북도 경주시 양북면 ,연일_039,85물-034
1985,"신태화(연,아연)광산 물리탐사보고서",신태화,"금,아연,연,은",강원도 고성군 현내면 ,고성_079,85물-033
1985,"구곡(금,은,동)광산 물리탐사보고서",구곡,"금,동,아연,연,은",충청북도 제천시 봉양읍 ,,85물-032
1985,"신원(금,은)광산 물리탐사보고서",신원,"금,동,은",경상남도 거제시  ,,85물-031
1985,울산(철)광산 물리탐사보고서,울산,"동,사문석,철,텅스텐",울산광역시 울주군  ,"울산_102,울산_103",85물-030
1985,"광정(금,은)광산 물리탐사보고서",광정,"금,동,아연,연,은",충청남도 공주시 정안면 광정리,"광정_084,광정_094",85물-029
1985,"가평(금,은)광산 물리탐사보고서",가평,"금,동,은",경기도 가평군 북면 ,춘천_106,85물-028
1985,"가금(연,아연)광산 물리탐사보고서",가금,"금,아연,연,은",충청북도 충주시 가금면 ,묵호_109,85물-027
1985,"공주(금,은)광산 물리탐사보고서",공주,"금,동,은",충청남도 공주시 탄천면 ,논산_142,85물-026
1985,"우성(금,은)광산 물리탐사보고서",우성,"금,은",충청남도 청양군  ,청양_009,85물-025
1985,"남흥(연,아연)광산 물리탐사보고서",남흥,"금,동,아연,연,은",경상남도 남해군 남해읍 ,남해_069,85물-024
1985,거도(철)광산 물리탐사보고서,거도,"동,철",강원도 태백시 소도동 ,,85물-023
1985,"대아(연,아연)광산 물리탐사보고서",대아,"금,아연,연,은",강원도 평창군 평창읍 대상리,"영월_091,평창_100",85물-022
