공간정보일련번호,지적도명,채굴단위구역등록일자,면적내용,탐사권기간설명내용,광물유형명
618,강릉,2013-08-22,72 ha,2013-12-31 ~ 2020-12-30 만 7개년,규사
10,망운,2017-07-18,59 ha,2017-08-30 ~ 2027-08-29 만 10개년,규사
216,망운,2017-07-18,3 ha,2017-08-30 ~ 2027-08-29 만 10개년,규사
323,포항,2017-01-16,276 ha,2017-07-01 ~ 2037-06-30 만 20개년,고령토
233,법성포,2018-01-19,262 ha,2017-11-01 ~ 2037-10-31 만 20개년,고령토
302,구룡포,2018-01-04,69 ha,2018-01-05 ~ 2038-01-04 만 20개년,불석
424,이곡,2018-01-12,262 ha,2018-10-01 ~ 2038-09-30 만 20개년,"세륨, 지르코늄"
440,이곡,2018-01-23,275 ha,2018-05-16 ~ 2028-05-15 만 10개년,지르코늄
25,구룡포,2015-04-14,66 ha,2015-04-15 ~ 2035-04-14 만 20개년,불석
59,묵호,2015-04-07,176 ha,2010-05-01 ~ 2030-04-30 만 20개년,규석
60,묵호,2015-04-07,87 ha,2010-05-01 ~ 2030-04-30 만 20개년,규석
84,묵호,2015-04-07,67 ha,2010-12-01 ~ 2030-11-30 만 20개년,규석
300,구룡포,2015-04-14,23 ha,2015-04-15 ~ 2035-04-14 만 20개년,불석
385,안면도,2015-04-28,9 ha,2015-06-25 ~ 2022-06-24 만 7개년,규사
614,산성우,2015-04-07,272 ha,2011-06-01 ~ 2031-05-31 만 20개년,규석
422,평해,2015-12-16,275 ha,2016-03-28 ~ 2036-03-27 만 20개년,규사
423,평해,2015-12-11,232 ha,2016-05-28 ~ 2036-05-27 만 20개년,규사
446,울진,2015-12-11,216 ha,2016-09-01 ~ 2036-08-31 만 20개년,규사
355,남포,2017-08-16,198 ha,2017-01-07 ~ 2037-01-06 만 20개년,규사
213,망운,2014-03-04,223 ha,2014-09-01 ~ 2021-08-31 만 7개년,규사
214,망운,2014-03-14,281 ha,2011-08-14 ~ 2018-08-13 만 7개년,규사
589,온수리,2014-03-20,272 ha,2014-06-12 ~ 2019-06-11 만 5개년,"티탄철, 사금"
590,온수리,2014-03-20,272 ha,2014-06-12 ~ 2019-06-11 만 5개년,"티탄철, 사금"
617,강릉,2014-03-14,55 ha,2014-07-01 ~ 2021-06-30 만 7개년,규사
365,원산도,2012-09-25,276 ha,2013-01-09 ~ 2020-01-08 만 7개년,규사
372,원산도,2012-09-25,251 ha,2013-01-09 ~ 2020-01-08 만 7개년,규사
500,죽변,2012-09-03,274 ha,2013-02-01 ~ 2020-01-31 만 7개년,규사
501,죽변,2012-09-03,137 ha,2013-02-01 ~ 2020-01-31 만 7개년,규사
502,죽변,2012-09-03,274 ha,2013-02-01 ~ 2020-01-31 만 7개년,규사
177,망운,2017-09-19,140 ha,2017-09-20 ~ 2037-09-19 만 20개년,고령토
201,망운,2017-09-08,281 ha,2018-01-03 ~ 2038-01-02 만 20개년,규사
209,망운,2017-09-08,267 ha,2018-01-03 ~ 2038-01-02 만 20개년,규사
151,거제,2014-02-20,282 ha,2007-09-01 ~ 2027-08-31 만 20개년,"금광, 은광"
242,울산,2014-02-21,35 ha,2014-05-29 ~ 2034-05-28 만 20개년,"고령토, 불석"
142,무안,2011-06-10,70 ha,2005-03-31 ~ 2025-03-30 만 20개년,고령토
144,무안,2011-06-10,141 ha,2005-03-31 ~ 2025-03-30 만 20개년,고령토
343,포항,2011-06-09,7 ha,2011-12-01 ~ 2018-11-30 만 7개년,규사
3,망운,2011-01-28,281 ha,2003-01-13 ~ 2023-01-12 만 20개년,"고령토, 납석"
4,망운,2011-01-28,70 ha,2004-12-18 ~ 2024-12-17 만 20개년,고령토
38,대산,2011-01-28,68 ha,2003-12-05 ~ 2023-12-04 만 20개년,장석
53,삼척,2011-01-28,273 ha,2001-12-01 ~ 2021-11-30 만 20개년,석회석
75,묵호,2011-01-28,33 ha,1995-05-03 ~ 2020-04-30 만 25개년,규석
94,노화도,2011-01-28,284 ha,2009-10-01 ~ 2029-09-30 만 20개년,납석
95,노화도,2011-01-28,284 ha,2009-10-01 ~ 2029-09-30 만 20개년,납석
97,노화도,2011-01-28,284 ha,2002-11-01 ~ 2022-10-31 만 20개년,"고령토, 납석"
120,우수영,2011-01-28,66 ha,2006-12-07 ~ 2026-12-06 만 20개년,고령토
121,우수영,2011-01-28,53 ha,2006-12-07 ~ 2026-12-06 만 20개년,고령토
122,우수영,2011-01-28,153 ha,2011-02-01 ~ 2031-01-31 만 20개년,"고령토, 납석"
123,우수영,2011-01-28,194 ha,2006-12-07 ~ 2026-12-06 만 20개년,고령토
124,우수영,2011-01-28,283 ha,2000-12-30 ~ 2020-12-29 만 20개년,"금광, 은광"
125,우수영,2011-01-28,283 ha,2000-12-30 ~ 2020-12-29 만 20개년,"금광, 은광"
128,우수영,2011-01-28,283 ha,2000-12-30 ~ 2020-12-29 만 20개년,"금광, 은광"
129,우수영,2011-01-28,283 ha,2000-12-30 ~ 2020-12-29 만 20개년,"금광, 은광"
130,우수영,2011-01-28,22 ha,2000-01-27 ~ 2020-01-26 만 20개년,"금광, 은광"
131,우수영,2011-01-28,282 ha,2001-10-23 ~ 2021-10-22 만 20개년,고령토
141,무안,2011-01-28,282 ha,2001-12-28 ~ 2021-12-27 만 20개년,고령토
143,무안,2011-01-28,282 ha,2001-12-28 ~ 2021-12-27 만 20개년,고령토
145,무안,2011-01-28,282 ha,2001-12-28 ~ 2021-12-27 만 20개년,고령토
146,무안,2011-01-28,282 ha,2001-09-21 ~ 2021-09-20 만 20개년,고령토
147,무안,2011-01-28,282 ha,2001-12-28 ~ 2021-12-27 만 20개년,고령토
148,무안,2011-01-28,282 ha,2000-04-26 ~ 2020-04-25 만 20개년,고령토
149,무안,2011-01-28,282 ha,2001-12-28 ~ 2021-12-27 만 20개년,고령토
153,충무,2011-01-28,281 ha,2005-03-05 ~ 2025-03-04 만 20개년,고령토
155,무안,2011-01-28,281 ha,2005-06-16 ~ 2025-06-15 만 20개년,고령토
158,충무,2011-01-28,281 ha,2009-03-14 ~ 2029-03-13 만 20개년,고령토
159,충무,2011-01-28,281 ha,2009-03-14 ~ 2029-03-13 만 20개년,고령토
163,무안,2011-01-28,281 ha,2005-07-29 ~ 2025-07-28 만 20개년,고령토
165,임자도,2011-01-28,70 ha,2005-03-31 ~ 2025-03-30 만 20개년,고령토
168,망운,2011-01-28,70 ha,2003-10-01 ~ 2023-09-30 만 20개년,고령토
170,진교,2011-01-28,140 ha,2007-03-17 ~ 2027-03-16 만 20개년,고령토
173,가덕,2011-01-28,185 ha,1999-07-28 ~ 2019-07-27 만 20개년,"고령토, 납석"
178,망운,2011-01-28,26 ha,2009-03-28 ~ 2029-03-27 만 20개년,고령토
